name,artist,rank,weeks
What Ifs,Kane Brown,48,8
Rolex,Ayo,49,25
Drinkin' Problem,Midland,50,13
No Promises,Cheat Codes,51,12
1-800-273-8255,Logic,52,14
It's A Vibe,2 Chainz,53,8
Thunder,Imagine Dragons,54,14
Malibu,Miley Cyrus,55,13
Flatliner,Cole Swindell,56,15
My Girl,Dylan Scott,57,15
Felices Los 4,Maluma,58,12
No Such Thing As A Broken Heart,Old Dominion,59,10
DNA.,Kendrick Lamar,60,16
Butterfly Effect,Travis Scott,61,10
Whatever You Need,Meek Mill,62,4
Heartache On The Dance Floor,Jon Pardi,63,5
Young Dumb & Broke,Khalid,64,3
Most Girls,Hailee Steinfeld,65,11
Crew,GoldLink,66,6
Bad Liar,Selena Gomez,67,12
Unforgettable,Thomas Rhett,68,1
Somebody Else Will,Justin Moore,69,9
You Look Good,Lady Antebellum,70,17
Escapate Conmigo,Wisin,71,8
Love.,Kendrick Lamar,72,16
Reminder,The Weeknd,73,13
Back To You,Louis Tomlinson,74,2
Do Re Mi,blackbear,75,8
Glorious,Macklemore,76,4
It's Goin' Down,Descendants 2 Cast,77,2
Privacy,Chris Brown,78,14
First Day Out,Tee Grizzley,79,18
Down,Fifth Harmony,80,8
Passionfruit,Drake,81,20
Swalla,Jason Derulo,82,20
4 AM,2 Chainz,83,9
What's My Name,"China Anne McClain, Thomas Doherty",84,2
When It Rains It Pours,Luke Combs,85,1
It Ain't My Fault,Brothers Osborne,86,7
They Don't Know,Jason Aldean,87,1
Honest,The Chainsmokers,88,1
The Weekend,SZA,89,1
New Rules,Dua Lipa,90,1
Subeme La Radio,Enrique Iglesias,91,9
El Amante,Nicky Jam,92,13
Wish I Knew You,The Revivalists,93,1
Every Little Thing,Carly Pearce,94,1
"God, Your Mama, And Me",Florida Georgia Line,95,19
Heavy,Linkin Park,96,19
Learn To Let Go,Kesha,97,1
All The Pretty Girls,Kenny Chesney,98,1
For Her,Chris Lane,99,1
Signs,Drake,100,6
Despacito,Luis Fonsi,1,28
Wild Thoughts,DJ Khaled,2,6
That's What I Like,Bruno Mars,3,28
I'm The One,DJ Khaled,4,13
Believer,Imagine Dragons,5,25
Unforgettable,French Montana,6,16
Shape Of You,Ed Sheeran,7,29
There's Nothing Holdin' Me Back,Shawn Mendes,8,14
Attention,Charlie Puth,9,14
Body Like A Back Road,Sam Hunt,10,26
Congratulations,Post Malone,11,31
Humble.,Kendrick Lamar,12,17
Redbone,Childish Gambino,13,34
Stay,Zedd,14,22
Something Just Like This,The Chainsmokers,15,23
Strip That Down,Liam Payne,16,10
XO TOUR Llif3,Lil Uzi Vert,17,18
Slow Hands,Niall Horan,18,13
Now Or Never,Halsey,19,16
Mask Off,Future,20,23
Bank Account,21 Savage,21,3
It Ain't Me,Kygo x Selena Gomez,22,24
Feels,Calvin Harris,23,6
Say You Won't Let Go,James Arthur,24,40
Castle On The Hill,Ed Sheeran,25,29
Sorry Not Sorry,Demi Lovato,26,3
Location,Khalid,27,29
Bodak Yellow (Money Moves),Cardi B,28,4
2U,David Guetta,29,7
Mi Gente,J Balvin,30,4
Slippery,Migos,31,18
Rake It Up,Yo Gotti,32,4
Magnolia,Playboi Carti,33,13
Numb,Linkin Park,34,33
Issues,Julia Michaels,35,27
Everyday We Lit,YFN Lucci,36,16
In The End,Linkin Park,37,39
Praying,Kesha,38,3
Closer,The Chainsmokers,39,52
Back To You,Louis Tomlinson,40,1
Fetish,Selena Gomez,41,3
Malibu,Miley Cyrus,42,12
Drowning,A Boogie Wit da Hoodie,43,17
In Case You Didn't Know,Brett Young,44,25
Heavy,Linkin Park,45,18
Love Galore,SZA,46,7
The Fighter,Keith Urban,47,23
Craving You,Thomas Rhett,48,17
Small Town Boy,Dustin Lynch,49,8
Rolex,Ayo,50,24
Whatever You Need,Meek Mill,51,3
My Girl,Dylan Scott,52,14
Versace On The Floor,Bruno Mars,53,7
Bad Liar,Selena Gomez,54,11
Feel It Still,Portugal. The Man,55,6
Felices Los 4,Maluma,56,11
1-800-273-8255,Logic,57,13
Do I Make You Wanna,Billy Currington,58,7
DNA.,Kendrick Lamar,59,15
Drinkin' Problem,Midland,60,12
What's My Name,"China Anne McClain, Thomas Doherty",61,1
It's A Vibe,2 Chainz,62,7
What Ifs,Kane Brown,63,7
Loyalty.,Kendrick Lamar,64,15
Butterfly Effect,Travis Scott,65,9
No Such Thing As A Broken Heart,Old Dominion,66,9
Flatliner,Cole Swindell,67,14
No Promises,Cheat Codes,68,11
Thunder,Imagine Dragons,69,13
You Look Good,Lady Antebellum,70,16
Escapate Conmigo,Wisin,71,7
Most Girls,Hailee Steinfeld,72,10
Heartache On The Dance Floor,Jon Pardi,73,4
Crew,GoldLink,74,5
Love.,Kendrick Lamar,75,15
Somebody Else Will,Justin Moore,76,8
Issues,Meek Mill,77,1
Privacy,Chris Brown,78,13
Wins & Losses,Meek Mill,79,1
Passionfruit,Drake,80,19
It's Goin' Down,Descendants 2 Cast,81,1
Young Dumb & Broke,Khalid,82,2
1942 Flows,Meek Mill,83,1
First Day Out,Tee Grizzley,84,17
Glorious,Macklemore,85,3
Swalla,Jason Derulo,86,19
Yours If You Want It,Rascal Flatts,87,10
4 AM,2 Chainz,88,8
"God, Your Mama, And Me",Florida Georgia Line,89,18
Down,Fifth Harmony,90,7
Imitadora,Romeo Santos,91,1
Subeme La Radio,Enrique Iglesias,92,8
It Ain't My Fault,Brothers Osborne,93,6
El Amante,Nicky Jam,94,12
The Story Of O.J.,JAY-Z,95,3
We Ball,Meek Mill,96,1
F**k That Check Up,Meek Mill,97,1
Signs,Drake,98,5
Heavy Heart,Meek Mill,99,1
Reminder,The Weeknd,100,12
Despacito,Luis Fonsi,1,27
Wild Thoughts,DJ Khaled,2,5
That's What I Like,Bruno Mars,3,27
I'm The One,DJ Khaled,4,12
Unforgettable,French Montana,5,15
Shape Of You,Ed Sheeran,6,28
Believer,Imagine Dragons,7,24
There's Nothing Holdin' Me Back,Shawn Mendes,8,13
Body Like A Back Road,Sam Hunt,9,25
Attention,Charlie Puth,10,13
Humble.,Kendrick Lamar,11,16
Congratulations,Post Malone,12,30
Redbone,Childish Gambino,13,33
Stay,Zedd,14,21
Something Just Like This,The Chainsmokers,15,22
XO TOUR Llif3,Lil Uzi Vert,16,17
Now Or Never,Halsey,17,15
Mask Off,Future,18,22
Slow Hands,Niall Horan,19,12
Say You Won't Let Go,James Arthur,20,39
It Ain't Me,Kygo x Selena Gomez,21,23
Castle On The Hill,Ed Sheeran,22,28
Sorry Not Sorry,Demi Lovato,23,2
Location,Khalid,24,28
Strip That Down,Liam Payne,25,9
Feels,Calvin Harris,26,5
Fetish,Selena Gomez,27,2
Issues,Julia Michaels,28,26
Magnolia,Playboi Carti,29,12
Bad Liar,Selena Gomez,30,10
Malibu,Miley Cyrus,31,11
2U,David Guetta,32,6
Everyday We Lit,YFN Lucci,33,15
Bank Account,21 Savage,34,2
Slippery,Migos,35,17
Closer,The Chainsmokers,36,51
In Case You Didn't Know,Brett Young,37,24
Drowning,A Boogie Wit da Hoodie,38,16
My Girl,Dylan Scott,39,13
Praying,Kesha,40,2
Rake It Up,Yo Gotti,41,3
Mi Gente,J Balvin,42,3
Rolex,Ayo,43,23
Craving You,Thomas Rhett,44,16
Bad And Boujee,Migos,45,36
iSpy,KYLE,46,30
Versace On The Floor,Bruno Mars,47,6
Felices Los 4,Maluma,48,10
Bodak Yellow (Money Moves),Cardi B,49,3
24K Magic,Bruno Mars,50,41
DNA.,Kendrick Lamar,51,14
Small Town Boy,Dustin Lynch,52,7
Love Galore,SZA,53,6
Drinkin' Problem,Midland,54,11
1-800-273-8255,Logic,55,12
It's A Vibe,2 Chainz,56,6
Do I Make You Wanna,Billy Currington,57,6
Most Girls,Hailee Steinfeld,58,9
Thunder,Imagine Dragons,59,12
Butterfly Effect,Travis Scott,60,8
4:44,JAY-Z,61,2
Loyalty.,Kendrick Lamar,62,14
Feel It Still,Portugal. The Man,63,5
No Such Thing As A Broken Heart,Old Dominion,64,8
What Ifs,Kane Brown,65,6
Flatliner,Cole Swindell,66,13
You Look Good,Lady Antebellum,67,15
No Promises,Cheat Codes,68,10
First Day Out,Tee Grizzley,69,16
Escapate Conmigo,Wisin,70,6
Yours If You Want It,Rascal Flatts,71,9
The Story Of O.J.,JAY-Z,72,2
Crying In The Club,Camila Cabello,73,9
Passionfruit,Drake,74,18
A Lie,French Montana,75,1
Privacy,Chris Brown,76,12
Love.,Kendrick Lamar,77,14
Down,Fifth Harmony,78,6
Swalla,Jason Derulo,79,18
"God, Your Mama, And Me",Florida Georgia Line,80,17
Heartache On The Dance Floor,Jon Pardi,81,3
Crew,GoldLink,82,4
4 AM,2 Chainz,83,7
Somebody Else Will,Justin Moore,84,7
Every Time I Hear That Song,Blake Shelton,85,11
Jerika,Jake Paul,86,1
The Cure,Lady Gaga,87,14
Signs,Drake,88,4
Whatever You Need,Meek Mill,89,2
Reminder,The Weeknd,90,11
Young Dumb & Broke,Khalid,91,1
El Amante,Nicky Jam,92,11
Weak,AJR,93,11
It Ain't My Fault,Brothers Osborne,94,5
Subeme La Radio,Enrique Iglesias,95,7
Woman,Kesha,96,1
Rollin,Calvin Harris,97,4
Element.,Kendrick Lamar,98,11
Glorious,Macklemore,99,2
No Complaints,Metro Boomin,100,3
Despacito,Luis Fonsi,1,26
Wild Thoughts,DJ Khaled,2,4
I'm The One,DJ Khaled,3,11
That's What I Like,Bruno Mars,4,26
Shape Of You,Ed Sheeran,5,27
Humble.,Kendrick Lamar,6,15
Believer,Imagine Dragons,7,23
There's Nothing Holdin' Me Back,Shawn Mendes,8,12
Unforgettable,French Montana,9,14
Body Like A Back Road,Sam Hunt,10,24
Congratulations,Post Malone,11,29
Stay,Zedd,12,20
Attention,Charlie Puth,13,12
Redbone,Childish Gambino,14,32
Something Just Like This,The Chainsmokers,15,21
XO TOUR Llif3,Lil Uzi Vert,16,16
Now Or Never,Halsey,17,14
Mask Off,Future,18,21
Slow Hands,Niall Horan,19,11
Issues,Julia Michaels,20,25
Say You Won't Let Go,James Arthur,21,38
It Ain't Me,Kygo x Selena Gomez,22,22
The Story Of O.J.,JAY-Z,23,1
Castle On The Hill,Ed Sheeran,24,27
Praying,Kesha,25,1
Location,Khalid,26,27
Bad Liar,Selena Gomez,27,9
Strip That Down,Liam Payne,28,8
Magnolia,Playboi Carti,29,11
Feels,Calvin Harris,30,4
Malibu,Miley Cyrus,31,10
2U,David Guetta,32,5
Bank Account,21 Savage,33,1
Slippery,Migos,34,16
4:44,JAY-Z,35,1
Everyday We Lit,YFN Lucci,36,14
Closer,The Chainsmokers,37,50
In Case You Didn't Know,Brett Young,38,23
iSpy,KYLE,39,29
Rolex,Ayo,40,22
Craving You,Thomas Rhett,41,15
Drowning,A Boogie Wit da Hoodie,42,15
Bad And Boujee,Migos,43,35
My Girl,Dylan Scott,44,12
Slide,Calvin Harris,45,20
DNA.,Kendrick Lamar,46,13
Bam,JAY-Z,47,1
24K Magic,Bruno Mars,48,40
Felices Los 4,Maluma,49,9
Hurricane,Luke Combs,50,22
Family Feud,JAY-Z,51,1
Sorry Not Sorry,Demi Lovato,52,1
Mi Gente,J Balvin,53,2
Small Town Boy,Dustin Lynch,54,6
Kill Jay Z,JAY-Z,55,1
Smile,JAY-Z,56,1
Versace On The Floor,Bruno Mars,57,5
Do I Make You Wanna,Billy Currington,58,5
First Day Out,Tee Grizzley,59,15
Drinkin' Problem,Midland,60,10
1-800-273-8255,Logic,61,11
Love Galore,SZA,62,5
Caught Their Eyes,JAY-Z,63,1
It's A Vibe,2 Chainz,64,5
Swalla,Jason Derulo,65,17
Most Girls,Hailee Steinfeld,66,8
Passionfruit,Drake,67,17
Rake It Up,Yo Gotti,68,2
"God, Your Mama, And Me",Florida Georgia Line,69,16
Thunder,Imagine Dragons,70,11
Crying In The Club,Camila Cabello,71,8
Escapate Conmigo,Wisin,72,5
No Such Thing As A Broken Heart,Old Dominion,73,7
Loyalty.,Kendrick Lamar,74,13
Flatliner,Cole Swindell,75,12
4 AM,2 Chainz,76,6
Privacy,Chris Brown,77,11
Bodak Yellow (Money Moves),Cardi B,78,2
Every Time I Hear That Song,Blake Shelton,79,10
Feel It Still,Portugal. The Man,80,4
Yours If You Want It,Rascal Flatts,81,8
Love.,Kendrick Lamar,82,13
Signs,Drake,83,3
The Cure,Lady Gaga,84,13
What Ifs,Kane Brown,85,5
Moonlight,JAY-Z,86,1
You Look Good,Lady Antebellum,87,14
No Promises,Cheat Codes,88,9
Glorious,Macklemore,89,1
Marcy Me,JAY-Z,90,1
Get Low,Zedd,91,1
Fetish,Selena Gomez,92,1
Somebody Else Will,Justin Moore,93,6
Famous,21 Savage,94,1
Weak,AJR,95,10
Heartache On The Dance Floor,Jon Pardi,96,2
Butterfly Effect,Travis Scott,97,7
Crew,GoldLink,98,3
Reminder,The Weeknd,99,10
Element.,Kendrick Lamar,100,10
Despacito,Luis Fonsi,1,25
I'm The One,DJ Khaled,2,10
That's What I Like,Bruno Mars,3,25
Wild Thoughts,DJ Khaled,4,3
Shape Of You,Ed Sheeran,5,26
Humble.,Kendrick Lamar,6,14
Believer,Imagine Dragons,7,22
Body Like A Back Road,Sam Hunt,8,23
Congratulations,Post Malone,9,28
Unforgettable,French Montana,10,13
Stay,Zedd,11,19
Mask Off,Future,12,20
Something Just Like This,The Chainsmokers,13,20
There's Nothing Holdin' Me Back,Shawn Mendes,14,11
Attention,Charlie Puth,15,11
Redbone,Childish Gambino,16,31
XO TOUR Llif3,Lil Uzi Vert,17,15
Now Or Never,Halsey,18,13
Issues,Julia Michaels,19,24
Say You Won't Let Go,James Arthur,20,37
It Ain't Me,Kygo x Selena Gomez,21,21
Slow Hands,Niall Horan,22,10
Castle On The Hill,Ed Sheeran,23,26
Location,Khalid,24,26
Bad Liar,Selena Gomez,25,8
Feels,Calvin Harris,26,3
2U,David Guetta,27,4
Strip That Down,Liam Payne,28,7
Slippery,Migos,29,15
Magnolia,Playboi Carti,30,10
Malibu,Miley Cyrus,31,9
Slide,Calvin Harris,32,19
Rolex,Ayo,33,21
iSpy,KYLE,34,28
Everyday We Lit,YFN Lucci,35,13
Closer,The Chainsmokers,36,49
In Case You Didn't Know,Brett Young,37,22
Bad And Boujee,Migos,38,34
Craving You,Thomas Rhett,39,14
24K Magic,Bruno Mars,40,39
Drowning,A Boogie Wit da Hoodie,41,14
DNA.,Kendrick Lamar,42,12
My Girl,Dylan Scott,43,11
Swalla,Jason Derulo,44,16
The Fighter,Keith Urban,45,22
Hurricane,Luke Combs,46,21
Goosebumps,Travis Scott,47,34
T-Shirt,Migos,48,25
First Day Out,Tee Grizzley,49,14
The Cure,Lady Gaga,50,12
Passionfruit,Drake,51,16
"God, Your Mama, And Me",Florida Georgia Line,52,15
Crying In The Club,Camila Cabello,53,7
Signs,Drake,54,2
Tunnel Vision,Kodak Black,55,20
Versace On The Floor,Bruno Mars,56,4
Every Time I Hear That Song,Blake Shelton,57,9
Drinkin' Problem,Midland,58,9
Thunder,Imagine Dragons,59,10
Small Town Boy,Dustin Lynch,60,5
Felices Los 4,Maluma,61,8
Do I Make You Wanna,Billy Currington,62,4
It's A Vibe,2 Chainz,63,4
1-800-273-8255,Logic,64,10
4 AM,2 Chainz,65,5
Privacy,Chris Brown,66,10
Flatliner,Cole Swindell,67,11
You Look Good,Lady Antebellum,68,13
Love.,Kendrick Lamar,69,12
Mi Gente,J Balvin,70,1
Love Galore,SZA,71,4
Loyalty.,Kendrick Lamar,72,12
Sign Of The Times,Harry Styles,73,13
No Such Thing As A Broken Heart,Old Dominion,74,6
Yours If You Want It,Rascal Flatts,75,7
Rollin,Calvin Harris,76,3
No Complaints,Metro Boomin,77,2
Rake It Up,Yo Gotti,78,1
What Ifs,Kane Brown,79,4
Weak,AJR,80,9
Feel It Still,Portugal. The Man,81,3
No Promises,Cheat Codes,82,8
Somebody Else Will,Justin Moore,83,5
Escapate Conmigo,Wisin,84,4
Bodak Yellow (Money Moves),Cardi B,85,1
Down,Fifth Harmony,86,5
Who Dat Boy,"Tyler, The Creator",87,1
Swish Swish,Katy Perry,88,7
Heartache On The Dance Floor,Jon Pardi,89,1
Portland,Drake,90,16
Reminder,The Weeknd,91,9
Most Girls,Hailee Steinfeld,92,7
Butterfly Effect,Travis Scott,93,6
El Amante,Nicky Jam,94,10
Losin Control,Russ,95,19
Element.,Kendrick Lamar,96,9
It Ain't My Fault,Brothers Osborne,97,4
Crew,GoldLink,98,2
Extra Luv,Future,99,1
How Not To,Dan + Shay,100,14
Despacito,Luis Fonsi,1,24
I'm The One,DJ Khaled,2,9
Wild Thoughts,DJ Khaled,3,2
That's What I Like,Bruno Mars,4,24
Shape Of You,Ed Sheeran,5,25
Believer,Imagine Dragons,6,21
Humble.,Kendrick Lamar,7,13
Congratulations,Post Malone,8,27
Mask Off,Future,9,19
Something Just Like This,The Chainsmokers,10,19
Stay,Zedd,11,18
Body Like A Back Road,Sam Hunt,12,22
Unforgettable,French Montana,13,12
Redbone,Childish Gambino,14,30
XO TOUR Llif3,Lil Uzi Vert,15,14
Issues,Julia Michaels,16,23
Say You Won't Let Go,James Arthur,17,36
There's Nothing Holdin' Me Back,Shawn Mendes,18,10
Now Or Never,Halsey,19,12
It Ain't Me,Kygo x Selena Gomez,20,20
Slow Hands,Niall Horan,21,9
Castle On The Hill,Ed Sheeran,22,25
Attention,Charlie Puth,23,10
Bad Liar,Selena Gomez,24,7
Malibu,Miley Cyrus,25,8
Location,Khalid,26,25
2U,David Guetta,27,3
iSpy,KYLE,28,27
Rolex,Ayo,29,20
Magnolia,Playboi Carti,30,9
Slippery,Migos,31,14
In Case You Didn't Know,Brett Young,32,21
Strip That Down,Liam Payne,33,6
Closer,The Chainsmokers,34,48
Bad And Boujee,Migos,35,33
Signs,Drake,36,1
Everyday We Lit,YFN Lucci,37,12
Swalla,Jason Derulo,38,15
Drowning,A Boogie Wit da Hoodie,39,13
24K Magic,Bruno Mars,40,38
DNA.,Kendrick Lamar,41,11
Goosebumps,Travis Scott,42,33
Hurricane,Luke Combs,43,20
Craving You,Thomas Rhett,44,13
My Girl,Dylan Scott,45,10
The Cure,Lady Gaga,46,11
The Fighter,Keith Urban,47,21
First Day Out,Tee Grizzley,48,13
T-Shirt,Migos,49,24
Crying In The Club,Camila Cabello,50,6
Tunnel Vision,Kodak Black,51,19
Passionfruit,Drake,52,15
"God, Your Mama, And Me",Florida Georgia Line,53,14
Thunder,Imagine Dragons,54,9
Slide,Calvin Harris,55,18
Every Time I Hear That Song,Blake Shelton,56,8
Feels,Calvin Harris,57,2
Sign Of The Times,Harry Styles,58,12
4 AM,2 Chainz,59,4
Loyalty.,Kendrick Lamar,60,11
Drinkin' Problem,Midland,61,8
Privacy,Chris Brown,62,9
It's A Vibe,2 Chainz,63,3
1-800-273-8255,Logic,64,9
Small Town Boy,Dustin Lynch,65,4
Felices Los 4,Maluma,66,7
Love.,Kendrick Lamar,67,11
Don't Quit,DJ Khaled,68,1
Flatliner,Cole Swindell,69,10
You Look Good,Lady Antebellum,70,12
No Complaints,Metro Boomin,71,1
Do I Make You Wanna,Billy Currington,72,3
To The Max,DJ Khaled,73,4
Love Galore,SZA,74,3
Weak,AJR,75,8
Yours If You Want It,Rascal Flatts,76,6
No Such Thing As A Broken Heart,Old Dominion,77,5
Versace On The Floor,Bruno Mars,78,3
Portland,Drake,79,15
How Not To,Dan + Shay,80,13
What Ifs,Kane Brown,81,3
No Promises,Cheat Codes,82,7
If I Told You,Darius Rucker,83,11
Feel It Still,Portugal. The Man,84,2
Somebody Else Will,Justin Moore,85,4
Down,Fifth Harmony,86,4
Butterfly Effect,Travis Scott,87,5
On Everything,DJ Khaled,88,1
Element.,Kendrick Lamar,89,8
Swish Swish,Katy Perry,90,6
Cold,Maroon 5,91,20
Losin Control,Russ,92,18
Reminder,The Weeknd,93,8
Crew,GoldLink,94,1
Most Girls,Hailee Steinfeld,95,6
Escapate Conmigo,Wisin,96,3
Good Drank,2 Chainz x Gucci Mane x Quavo,97,16
Shining,DJ Khaled,98,14
Wokeuplikethis*,Playboi Carti,99,9
It Ain't My Fault,Brothers Osborne,100,3
Despacito,Luis Fonsi,1,23
I'm The One,DJ Khaled,2,8
That's What I Like,Bruno Mars,3,23
Wild Thoughts,DJ Khaled,4,1
Shape Of You,Ed Sheeran,5,24
Humble.,Kendrick Lamar,6,12
Mask Off,Future,7,18
Congratulations,Post Malone,8,26
Something Just Like This,The Chainsmokers,9,18
Stay,Zedd,10,17
Believer,Imagine Dragons,11,20
XO TOUR Llif3,Lil Uzi Vert,12,13
Body Like A Back Road,Sam Hunt,13,21
Redbone,Childish Gambino,14,29
Issues,Julia Michaels,15,22
Unforgettable,French Montana,16,11
Say You Won't Let Go,James Arthur,17,35
It Ain't Me,Kygo x Selena Gomez,18,19
There's Nothing Holdin' Me Back,Shawn Mendes,19,9
Bad Liar,Selena Gomez,20,6
Now Or Never,Halsey,21,11
Malibu,Miley Cyrus,22,7
Castle On The Hill,Ed Sheeran,23,24
Slow Hands,Niall Horan,24,8
Attention,Charlie Puth,25,9
iSpy,KYLE,26,26
Rolex,Ayo,27,19
2U,David Guetta,28,2
Magnolia,Playboi Carti,29,8
Location,Khalid,30,24
Swalla,Jason Derulo,31,14
In Case You Didn't Know,Brett Young,32,20
Closer,The Chainsmokers,33,47
Strip That Down,Liam Payne,34,5
Slippery,Migos,35,13
DNA.,Kendrick Lamar,36,10
Everyday We Lit,YFN Lucci,37,11
Bad And Boujee,Migos,38,32
Goosebumps,Travis Scott,39,32
24K Magic,Bruno Mars,40,37
Drowning,A Boogie Wit da Hoodie,41,12
Sign Of The Times,Harry Styles,42,11
Hurricane,Luke Combs,43,19
Tunnel Vision,Kodak Black,44,18
Scars To Your Beautiful,Alessia Cara,45,43
"God, Your Mama, And Me",Florida Georgia Line,46,13
T-Shirt,Migos,47,23
Passionfruit,Drake,48,14
Slide,Calvin Harris,49,17
The Fighter,Keith Urban,50,20
Feels,Calvin Harris,51,1
First Day Out,Tee Grizzley,52,12
Craving You,Thomas Rhett,53,12
Crying In The Club,Camila Cabello,54,5
4 AM,2 Chainz,55,3
My Girl,Dylan Scott,56,9
The Cure,Lady Gaga,57,10
It's A Vibe,2 Chainz,58,2
Every Time I Hear That Song,Blake Shelton,59,7
Look At Me!,XXXTENTACION,60,20
First Day Out,Kodak Black,61,1
Love.,Kendrick Lamar,62,10
Felices Los 4,Maluma,63,6
Drinkin' Problem,Midland,64,7
How Not To,Dan + Shay,65,12
Privacy,Chris Brown,66,8
You Look Good,Lady Antebellum,67,11
1-800-273-8255,Logic,68,8
Loyalty.,Kendrick Lamar,69,10
Good Drank,2 Chainz x Gucci Mane x Quavo,70,15
Cold,Maroon 5,71,19
Portland,Drake,72,14
Flatliner,Cole Swindell,73,9
Weak,AJR,74,7
Small Town Boy,Dustin Lynch,75,3
If I Told You,Darius Rucker,76,10
No Promises,Cheat Codes,77,6
To The Max,DJ Khaled,78,3
Down,Fifth Harmony,79,3
No Such Thing As A Broken Heart,Old Dominion,80,4
Love Galore,SZA,81,2
Yours If You Want It,Rascal Flatts,82,5
Relationship,Young Thug,83,1
Swish Swish,Katy Perry,84,5
Thunder,Imagine Dragons,85,8
Losin Control,Russ,86,17
Reminder,The Weeknd,87,7
My Old Man,Zac Brown Band,88,4
Feel It Still,Portugal. The Man,89,1
What Ifs,Kane Brown,90,2
Most Girls,Hailee Steinfeld,91,5
Somebody Else Will,Justin Moore,92,3
Do I Make You Wanna,Billy Currington,93,2
Wokeuplikethis*,Playboi Carti,94,8
Butterfly Effect,Travis Scott,95,4
Escapate Conmigo,Wisin,96,2
Nobody Else But You,Trey Songz,97,3
Subeme La Radio,Enrique Iglesias,98,6
It Ain't My Fault,Brothers Osborne,99,2
Real Hitta,Plies,100,1
Despacito,Luis Fonsi,1,22
I'm The One,DJ Khaled,2,7
That's What I Like,Bruno Mars,3,22
Shape Of You,Ed Sheeran,4,23
Humble.,Kendrick Lamar,5,11
Mask Off,Future,6,17
Something Just Like This,The Chainsmokers,7,17
Stay,Zedd,8,16
Congratulations,Post Malone,9,25
XO TOUR Llif3,Lil Uzi Vert,10,12
Body Like A Back Road,Sam Hunt,11,20
Say You Won't Let Go,James Arthur,12,34
Issues,Julia Michaels,13,21
Redbone,Childish Gambino,14,28
Believer,Imagine Dragons,15,19
2U,David Guetta,16,1
It Ain't Me,Kygo x Selena Gomez,17,18
Unforgettable,French Montana,18,10
There's Nothing Holdin' Me Back,Shawn Mendes,19,8
Now Or Never,Halsey,20,10
Castle On The Hill,Ed Sheeran,21,23
iSpy,KYLE,22,25
Bad Liar,Selena Gomez,23,5
Slow Hands,Niall Horan,24,7
Malibu,Miley Cyrus,25,6
Rolex,Ayo,26,18
Attention,Charlie Puth,27,8
Location,Khalid,28,23
Sign Of The Times,Harry Styles,29,10
Swalla,Jason Derulo,30,13
In Case You Didn't Know,Brett Young,31,19
DNA.,Kendrick Lamar,32,9
Magnolia,Playboi Carti,33,7
Closer,The Chainsmokers,34,46
Bad And Boujee,Migos,35,31
Slippery,Migos,36,12
Everyday We Lit,YFN Lucci,37,10
Goosebumps,Travis Scott,38,31
24K Magic,Bruno Mars,39,36
Tunnel Vision,Kodak Black,40,17
T-Shirt,Migos,41,22
Drowning,A Boogie Wit da Hoodie,42,11
Hurricane,Luke Combs,43,18
Strip That Down,Liam Payne,44,4
Passionfruit,Drake,45,13
Slide,Calvin Harris,46,16
The Fighter,Keith Urban,47,19
The Cure,Lady Gaga,48,9
Scars To Your Beautiful,Alessia Cara,49,42
Swang,Rae Sremmurd,50,26
"God, Your Mama, And Me",Florida Georgia Line,51,12
Craving You,Thomas Rhett,52,11
To The Max,DJ Khaled,53,2
Look At Me!,XXXTENTACION,54,19
Crying In The Club,Camila Cabello,55,4
First Day Out,Tee Grizzley,56,11
How Not To,Dan + Shay,57,11
Love.,Kendrick Lamar,58,9
You Look Good,Lady Antebellum,59,10
My Girl,Dylan Scott,60,8
Every Time I Hear That Song,Blake Shelton,61,6
Swish Swish,Katy Perry,62,4
If I Told You,Darius Rucker,63,9
Cold,Maroon 5,64,18
Felices Los 4,Maluma,65,5
Portland,Drake,66,13
Drinkin' Problem,Midland,67,6
1-800-273-8255,Logic,68,7
Privacy,Chris Brown,69,7
Love Galore,SZA,70,1
Down,Fifth Harmony,71,2
Flatliner,Cole Swindell,72,8
Weak,AJR,73,6
Loyalty.,Kendrick Lamar,74,9
Yours If You Want It,Rascal Flatts,75,4
Small Town Boy,Dustin Lynch,76,2
No Promises,Cheat Codes,77,5
No Such Thing As A Broken Heart,Old Dominion,78,3
Do I Make You Wanna,Billy Currington,79,1
Losin Control,Russ,80,16
Butterfly Effect,Travis Scott,81,3
Wokeuplikethis*,Playboi Carti,82,7
Heavy,Linkin Park,83,17
4 AM,2 Chainz,84,2
Bon Appetit,Katy Perry,85,6
Black,Dierks Bentley,86,19
Thunder,Imagine Dragons,87,7
Most Girls,Hailee Steinfeld,88,4
Escapate Conmigo,Wisin,89,1
Subeme La Radio,Enrique Iglesias,90,5
Somebody Else Will,Justin Moore,91,2
Nobody Else But You,Trey Songz,92,2
What Ifs,Kane Brown,93,1
Good Drank,2 Chainz x Gucci Mane x Quavo,94,14
It's A Vibe,2 Chainz,95,1
Hometown Girl,Josh Turner,96,16
Reminder,The Weeknd,97,6
Gyalchester,Drake,98,11
Know No Better,Major Lazer,99,2
It Ain't My Fault,Brothers Osborne,100,1
Despacito,Luis Fonsi,1,21
That's What I Like,Bruno Mars,2,21
I'm The One,DJ Khaled,3,6
Shape Of You,Ed Sheeran,4,22
Humble.,Kendrick Lamar,5,10
Mask Off,Future,6,16
